Wed Jul 12 21:44:48 MSK 2023Вычисляем: 5 + 3 = 8
Thu Jul 13 07:55:03 MSK 2023 Вычисляем: 5 + 5 = 10
Thu Jul 13 07:59:58 MSK 2023 Вычисляем: 5 + 5 = 10
Thu Jul 13 08:02:47 MSK 2023 Вычисляем: 5 + 5 = 10
Thu Jul 13 08:02:54 MSK 2023 Вычисляем: 5 - 1 = 4
Thu Jul 13 08:12:32 MSK 2023 Вычисляем: 5 * 5 = 25
Thu Jul 13 08:12:40 MSK 2023 Вычисляем: 6 - 3 = 3
Thu Jul 13 08:13:02 MSK 2023 Вычисляем: 7 + 4 = 11
Thu Jul 13 08:13:06 MSK 2023 Вычисляем: 6.0 / 2.0 = 3.0
Thu Jul 13 08:13:10 MSK 2023 Вычисляем: 8.0 / 2.0 = 4.0
Thu Jul 13 08:13:27 MSK 2023 Вычисляем: 6.0 / 2.0 = 3.0
Thu Jul 13 08:13:32 MSK 2023 Вычисляем: 5 + 5 = 10
Thu Jul 13 08:13:38 MSK 2023 Вычисляем: 8 - 3 = 5
Thu Jul 13 08:13:43 MSK 2023 Вычисляем: 13 * 2 = 26
